Long	Lat	photo
31.14750500000	30.13356750000	photo_2026-05-13_21-50-36
31.15931990000	30.13296580000	photo_2026-05-13_21-50-53
31.15814550000	30.13329560000	photo_2026-05-13_21-51-00
31.15012920000	30.13507390000	photo_2026-05-13_21-51-10
31.16139730000	30.13149520000	photo_2026-05-13_21-51-17
31.14745470000	30.13482240000	photo_2026-05-13_21-51-49
31.14982700000	30.13517320000	photo_2026-05-13_21-51-42
31.16153380000	30.13149860000	photo_2026-05-13_21-51-56
31.15379100000	30.13449730000	photo_2026-05-13_21-52-03
31.14758750000	30.13522490000	photo_2026-05-13_21-52-09
31.14758880000	30.13561280000	photo_2026-05-13_21-52-15
31.15982380000	30.13277370000	photo_2026-05-13_21-52-22
31.15296140000	30.13875360000	photo_2026-05-13_21-52-28
31.15381780000	30.13458620000	photo_2026-05-13_21-52-38
31.15556260000	30.14095260000	photo_2026-05-13_21-52-45
31.15381610000	30.13459110000	photo_2026-05-13_21-52-53
31.15295270000	30.13322100000	photo_2026-05-13_21-53-00
31.14862480000	30.13555380000	photo_2026-05-13_21-53-06
31.15605860000	30.13377900000	photo_2026-05-13_21-53-14
31.15292590000	30.13321130000	photo_2026-05-13_21-53-20
31.15390140000	30.13453400000	photo_2026-05-13_21-53-39
31.15291200000	30.13322120000	photo_2026-05-13_21-53-27
31.15797320000	30.13353850000	photo_2026-05-13_21-53-45
31.15319470000	30.13319440000	photo_2026-05-13_21-53-52
31.15295840000	30.13321750000	photo_2026-05-13_21-53-57
31.15294080000	30.13320410000	photo_2026-05-13_21-54-08
31.15192490000	30.13477360000	photo_2026-05-13_21-54-13
31.15816860000	30.13327800000	photo_2026-05-13_21-54-23
31.15557830000	30.13417530000	photo_2026-05-13_21-54-39
31.15321570000	30.13320190000	photo_2026-05-13_21-54-44
31.15287910000	30.13320520000	photo_2026-05-13_21-54-54
31.14436920000	30.13710880000	photo_2026-05-13_21-55-00
31.15013830000	30.13506130000	photo_2026-05-13_21-55-05
31.15418090000	30.13429110000	photo_2026-05-13_21-55-14
31.15552290000	30.13421930000	photo_2026-05-13_21-55-21
31.15292020000	30.13321190000	photo_2026-05-13_21-55-40
31.14759640000	30.13526450000	photo_2026-05-13_21-55-46
31.15167050000	30.13489920000	photo_2026-05-13_21-55-52
31.15777260000	30.13334270000	photo_2026-05-13_21-56-02
31.15282200000	30.13320090000	photo_2026-05-13_21-56-09
31.14743490000	30.13465490000	photo_2026-05-13_21-56-14
31.14751900000	30.13518490000	photo_2026-05-13_21-56-22
31.15770720000	30.13340370000	photo_2026-05-13_21-56-29
31.15961000000	30.13272650000	photo_2026-05-13_21-56-35
31.15982310000	30.13264350000	photo_2026-05-13_21-56-40
